company,served_airports_pr_period,neigh_airports_pr_period,pair,airport_type,population,megapolis,tourist,distance_km,distance_km_squared,entry,entry_2
N4,5,4.0,ROV_SVO,1,3759.2259841621653,2,1,983.7296370587525,967723.9988277449,1.0,1
FV,11,2.0,ROV_SVO,1,3759.2259841621653,2,1,983.7296370587525,967723.9988277449,0.0,0
RSD,2,0.0,ROV_SVO,1,3759.2259841621653,2,1,983.7296370587525,967723.9988277449,0.0,0
UT,13,1.0,ROV_SVO,1,3759.2259841621653,2,1,983.7296370587525,967723.9988277449,0.0,0
SU,26,22.0,ROV_SVO,1,3759.2259841621653,2,1,983.7296370587525,967723.9988277449,1.0,0
NWS,3,2.0,ROV_SVO,1,3759.2259841621653,2,1,983.7296370587525,967723.9988277449,0.0,0
YC,4,0.0,ROV_SVO,1,3759.2259841621653,2,1,983.7296370587525,967723.9988277449,0.0,0
A4,4,2.0,ROV_SVO,1,3759.2259841621653,2,1,983.7296370587525,967723.9988277449,0.0,0
AFL,9,8.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
SDM,4,1.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
HZ,2,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
AUL,0,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
5N,0,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
RT,0,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
SHU,0,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
WZ,2,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
DP,4,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
7R,2,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
DRU,0,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
KAR,0,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
U6,6,2.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
KZN,0,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
RSJ,0,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
S7,22,2.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
Y7,4,1.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
R3,4,1.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
UVT,0,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
N4,5,4.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,1.0,1
FV,11,7.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
RSD,2,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
UT,13,1.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
SU,26,25.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,1.0,0
NWS,3,1.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
YC,4,0.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
A4,4,2.0,LED_SVO,2,8181.204801250241,2,2,600.7000043200826,360840.49519014725,0.0,0
AFL,9,7.0,SVO_SVX,2,4286.177084535822,2,1,1441.2224746543866,2077122.221448914,0.0,0
SDM,4,0.0,SVO_SVX,2,4286.177084535822,2,1,1441.2224746543866,2077122.221448914,0.0,0
HZ,2,0.0,SVO_SVX,2,4286.177084535822,2,1,1441.2224746543866,2077122.221448914,0.0,0
AUL,0,0.0,SVO_SVX,2,4286.177084535822,2,1,1441.2224746543866,2077122.221448914,0.0,0
5N,0,0.0,SVO_SVX,2,4286.177084535822,2,1,1441.2224746543866,2077122.221448914,0.0,0
RT,0,0.0,SVO_SVX,2,4286.177084535822,2,1,1441.2224746543866,2077122.221448914,0.0,0
