iter	Passed	Remaining
528	20412	18174
529	20452	18136
530	20487	18095
531	20521	18052
532	20556	18010
533	20590	17968
534	20624	17925
535	20660	17885
536	20699	17847
537	20734	17805
538	20772	17766
539	20805	17723
540	20839	17680
541	20875	17640
542	20914	17602
543	20951	17562
544	20983	17518
545	21016	17475
546	21052	17434
547	21086	17392
548	21128	17356
549	21168	17319
550	21207	17281
551	21251	17247
552	21287	17207
553	21323	17166
554	21361	17127
555	21392	17083
556	21428	17042
557	21466	17004
558	21500	16961
559	21534	16919
560	21576	16884
561	21613	16845
562	21648	16803
563	21683	16762
564	21718	16721
565	21755	16681
566	21792	16641
567	21831	16604
568	21867	16564
569	21901	16521
570	21939	16483
571	21975	16443
572	22018	16407
573	22054	16367
574	22094	16330
575	22132	16291
576	22182	16262
577	22227	16228
578	22266	16190
579	22305	16152
580	22340	16111
581	22376	16071
582	22414	16032
583	22456	15996
584	22492	15956
585	22527	15915
586	22564	15875
587	22595	15832
588	22634	15794
589	22682	15762
590	22723	15725
591	22771	15693
592	22807	15653
593	22849	15617
594	22888	15579
595	22927	15541
596	22965	15502
597	23004	15464
598	23047	15428
599	23091	15394
600	23131	15356
601	23170	15318
602	23219	15287
603	23264	15252
604	23305	15216
605	23351	15182
606	23397	15148
607	23444	15115
608	23499	15087
609	23543	15052
610	23586	15016
611	23635	14984
612	23677	14947
613	23718	14911
614	23772	14881
615	23817	14846
616	23864	14813
617	23906	14777
618	23954	14744
619	23997	14708
620	24038	14671
621	24083	14635
622	24126	14600
623	24165	14561
624	24206	14523
625	24247	14486
626	24293	14452
627	24331	14413
628	24373	14375
629	24416	14339
630	24462	14305
631	24506	14269
632	24547	14232
633	24591	14196
634	24638	14162
635	24682	14126
636	24725	14090
637	24768	14053
638	24818	14021
639	24864	13986
640	24912	13952
641	24957	13916
642	24994	13877
643	25040	13842
644	25087	13807
645	25126	13769
646	25169	13732
647	25218	13699
648	25258	13660
649	25300	13623
650	25340	13585
651	25376	13544
652	25422	13509
653	25472	13476
654	25527	13445
655	25578	13413
656	25627	13379
657	25682	13348
658	25734	13316
659	25788	13285
660	25840	13252
661	25890	13218
662	25939	13184
663	25991	13152
664	26044	13119
665	26090	13084
666	26137	13049
667	26187	13015
668	26247	12986
669	26293	12950
670	26347	12918
671	26388	12880
672	26435	12844
673	26480	12808
674	26523	12770
675	26565	12732
676	26615	12698
677	26661	12662
678	26713	12628
679	26774	12599
680	26813	12560
681	26852	12520
682	26898	12484
683	26940	12446
684	26981	12407
685	27018	12366
686	27059	12328
687	27098	12288
688	27136	12248
689	27181	12212
690	27225	12174
691	27264	12135
692	27311	12099
693	27355	12061
694	27406	12027
695	27450	11989
696	27494	11952
697	27538	11915
698	27580	11876
699	27622	11838
700	27673	11803
701	27726	11769
702	27771	11732
703	27808	11692
704	27839	11649
705	27869	11605
706	27900	11562
707	27933	11520
708	27963	11477
709	27998	11436
710	28028	11392
711	28060	11350
712	28087	11305
713	28122	11264
714	28149	11220
715	28179	11177
716	28212	11135
717	28242	11092
718	28274	11050
719	28302	11006
720	28333	10964
721	28362	10920
722	28390	10877
723	28417	10833
724	28449	10791
725	28477	10747
726	28510	10706
727	28537	10662
728	28563	10618
729	28593	10575
730	28624	10533
731	28657	10491
732	28684	10448
733	28718	10407
734	28747	10364
735	28784	10324
736	28811	10281
737	28847	10241
738	28876	10198
739	28904	10155
740	28931	10112
741	28965	10071
742	29000	10031
743	29029	9988
744	29065	9948
745	29099	9908
746	29131	9866
747	29171	9827
748	29210	9788
749	29245	9748
750	29278	9707
751	29313	9667
752	29343	9625
753	29382	9586
754	29417	9545
755	29456	9507
756	29489	9466
757	29525	9426
758	29559	9385
759	29593	9345
760	29625	9304
761	29652	9261
762	29684	9220
763	29714	9178
764	29741	9136
765	29770	9094
766	29802	9053
767	29829	9011
768	29858	8969
769	29889	8928
770	29923	8887
771	29954	8846
772	29987	8806
773	30021	8765
774	30053	8725
775	30088	8685
776	30125	8646
777	30162	8606
778	30202	8568
779	30239	8529
780	30277	8489
781	30314	8450
782	30349	8410
783	30384	8371
784	30419	8331
785	30452	8291
786	30481	8249
787	30513	8209
788	30541	8167
789	30570	8126
790	30599	8085
791	30631	8044
792	30660	8003
793	30688	7961
794	30717	7920
795	30749	7880
796	30781	7840
797	30812	7799
798	30842	7758
799	30871	7717
800	30902	7677
801	30929	7635
802	30958	7595
803	30989	7554
804	31018	7513
805	31047	7472
806	31075	7431
807	31103	7390
808	31131	7350
809	31169	7311
810	31203	7271
811	31241	7233
812	31271	7192
813	31307	7153
814	31337	7113
815	31377	7075
816	31413	7036
817	31450	6997
818	31484	6958
819	31516	6918
820	31547	6878
821	31579	6838
822	31612	6798
823	31642	6758
824	31677	6719
825	31710	6679
826	31741	6639
827	31775	6600
828	31806	6560
829	31839	6521
830	31871	6481
831	31905	6442
832	31934	6402
833	31964	6362
834	32004	6324
835	32039	6285
836	32078	6246
837	32113	6208
838	32151	6169
839	32191	6131
840	32224	6092
841	32256	6052
842	32288	6013
843	32321	5974
844	32376	5938
845	32417	5901
846	32467	5864
847	32513	5827
848	32557	5790
849	32594	5751
850	32640	5715
851	32681	5677
852	32726	5639
853	32770	5602
854	32810	5564
855	32849	5526
856	32887	5487
857	32923	5448
858	32965	5411
859	33001	5372
860	33038	5333
861	33073	5294
862	33109	5256
863	33152	5218
864	33186	5179
865	33223	5140
866	33261	5102
867	33297	5063
868	33334	5025
869	33369	4986
870	33408	4948
871	33447	4909
872	33485	4871
873	33522	4832
874	33560	4794
875	33597	4755
876	33632	4716
877	33666	4678
878	33700	4639
879	33735	4600
880	33773	4561
881	33814	4523
882	33853	4485
883	33896	4447
884	33931	4409
885	33974	4371
886	34016	4333
887	34050	4294
888	34091	4256
889	34128	4218
890	34165	4179
891	34199	4140
892	34241	4102
893	34278	4064
894	34312	4025
895	34349	3987
896	34380	3947
897	34418	3909
898	34462	3871
899	34504	3833
900	34539	3795
901	34577	3756
902	34613	3718
903	34648	3679
904	34688	3641
905	34725	3602
906	34757	3563
907	34795	3525
908	34832	3487
909	34874	3449
910	34907	3410
911	34943	3371
912	34976	3332
913	35016	3294
914	35052	3256
915	35086	3217
916	35126	3179
917	35171	3141
918	35216	3103
919	35268	3066
920	35309	3028
921	35356	2991
922	35404	2953
923	35445	2915
924	35484	2877
925	35528	2839
926	35566	2800
927	35603	2762
928	35638	2723
929	35677	2685
930	35713	2646
931	35751	2608
932	35788	2570
933	35826	2531
934	35865	2493
935	35900	2454
936	35938	2416
937	35973	2377
938	36012	2339
939	36050	2301
940	36083	2262
941	36120	2223
942	36160	2185
943	36195	2147
944	36229	2108
945	36264	2070
946	36297	2031
947	36330	1992
948	36364	1954
949	36401	1915
950	36442	1877
951	36479	1839
952	36516	1800
953	36557	1762
954	36599	1724
955	36640	1686
956	36678	1648
957	36718	1609
958	36757	1571
959	36796	1533
960	36834	1494
961	36876	1456
962	36911	1418
963	36951	1379
964	36989	1341
965	37022	1303
966	37060	1264
967	37095	1226
968	37136	1188
969	37170	1149
970	37206	1111
971	37241	1072
972	37274	1034
973	37307	995
974	37344	957
975	37385	919
976	37422	880
977	37459	842
978	37501	804
979	37537	766
980	37575	727
981	37616	689
982	37653	651
983	37688	612
984	37725	574
985	37768	536
986	37808	497
987	37850	459
988	37886	421
989	37936	383
990	37980	344
991	38018	306
992	38057	268
993	38092	229
994	38133	191
995	38169	153
996	38208	114
997	38244	76
998	38279	38
999	38314	0
